Key,English [en-GB]
scenario_puzzle_3a_05,"See how the <b>Living Bones</b> have an ability card that lets them <nobr><b><link=""Glossary_Target"">Target</link></b> <sprite name=Target></nobr> same enemy multiple times instead of different targets being required? You'll need to get a <b><link=""Glossary_Shield"">Shield</link></b> up to prevent some of the damage."
scenario_puzzle_3a_06,"Be sure to use your <nobr><b><font=""MarcellusAlt SDF""><color=#F8F8F8>Minor Healing Potion</color></font></b></nobr> during your turn next time too!"
scenario_puzzle_3a_07,Running away isn’t going to help you succeed here. Get back in there and smash them bones!
scenario_puzzle_3a_08,"You killed the <b>Living Bones</b>, but as you burned a card, you don’t have enough cards left for the second round. Remember to use the potion and a <b><link=""Glossary_Shield"">Shield</link></b> ability."
scenario_puzzle_3a_09,"Yikes, that was quite the onslaught! Nonetheless, your <b><link=""Glossary_Shield"">Shield</link></b> prevented enough damage to keep <b>Brute</b> alive. Phew!"
scenario_puzzle_3a_10,"Final objective: Kill the remaining <b>Living Bones</b> - good luck, he’s a tanky one!"
scenario_puzzle_3a_11,"A tip for you - perhaps you could use the ol' <b><link=""Glossary_Push"">Push</link></b> and trap combo? Note that <b><link=""Glossary_Shield"">Shield</link></b> only prevents damage from <b><link=""Glossary_Attack"">Attack</link></b>s, but it doesn't do anything against direct damage such as from traps!"
scenario_puzzle_3a_12,"He’s not acting too fast this round, so you should be able to deal with him before he gets a chance to kill you!"
scenario_puzzle_3a_13,"Remember to Short Rest to get <nobr><font=""MarcellusAlt SDF""><color=#F5E3B0><b>Warding Strength</b></color></font></nobr> back to <b>Push</b> ol' Bones here across the traps."
scenario_puzzle_3a_14,"Saved the <b>Brute</b> yet again! I hear he's decided that adventuring alone is not working out for him, so he's agreed to be the first mercenary in your Guild!"
scenario_puzzle_3a_15,Let's get out of this dusty crypt and see who else we can recruit.
scenario_puzzle_3a_16,"Your objectives are:
<line-height=20%> 
</line-height>• Kill a <b>Living Bones</b> using an attack with <b><link=""Glossary_Pierce"">Pierce</link></b> <sprite name=Pierce>
• Apply some <b><link=""Glossary_Shield"">Shield</link></b> <sprite name=Shield> of your own
• Use your <nobr><b><font=""MarcellusAlt SDF""><color=#F8F8F8>Minor Healing Potion</color></font></b></nobr>
<line-height=20%> 
</line-height>That should help you survive this round."
scenario_puzzle_3a_obj_01,Kill a Living Bones using a Pierce <sprite name=Pierce> Attack
scenario_puzzle_3a_obj_01b,Survive the round by applying Shield <sprite name=Shield> and using a Health Potion
scenario_puzzle_3a_obj_02,Kill the remaining Living Bones this turn
scenario_puzzle_3b_01,"Meet the <b>Scoundrel</b>! She is incredibly nimble and mobile, not to mention able to combo off huge amounts of melee damage when things line up just right. Let's help her out of this sticky situation."
scenario_puzzle_3b_02,"Firstly, you need to:
<line-height=20%> 
</line-height>• Kill <b>3</b> <b>Archer</b>s this round before they attack
<line-height=20%> 
</line-height>You'll certainly need something that can hit more than one <nobr><b><link=""Glossary_Target"">Target</link></b> <sprite name=Target></nobr> at a time!"
scenario_puzzle_3b_03,"The <b>Archer</b> hit you. The <b>Scoundrel</b> has some very low Initiative value ability cards, select one of those to act first."
scenario_puzzle_3b_04,"Not quite, I need you to take out all three archers in the same round! If you combine <nobr><font=""MarcellusAlt SDF""><color=#F5E3B0><b>Throwing Knives</b></color></font></nobr> and <nobr><font=""MarcellusAlt SDF""><color=#F5E3B0><b>Smoke Bomb</b></color></font></nobr> in just the right way it is possible to take down all of the <b>Archer</b>s."
scenario_puzzle_3b_05,"Ha! Feels good picking off multiple targets in a single turn, doesn’t it? One last objective: 
<line-height=20%> 
</line-height>• Loot at least 5 piles of gold this round
<line-height=20%> 
</line-height>A tip for you - sometimes the top half of a card allows you to <b>Move</b> too!"
scenario_puzzle_3b_06,"<b><link=""Glossary_Loot"">Loot</link></b> abilities pick up <i>all</i> of the gold within the radius specified by the value, so you work out where you need to stand and get <b><link=""Glossary_Loot"">Loot</link></b>ing!"
scenario_puzzle_3b_07,"You may need to <b><link=""Glossary_Move"">Move</link></b> before <link=""Glossary_Loot""><b>Loot</b></link>ing, and not all <b><link=""Glossary_Move"">Move</link></b> abilities are on the bottom half of ability cards!"
scenario_puzzle_3b_08,Nice! Let me just take care of that gold for you…
scenario_puzzle_3b_09,"For your assistance in this scenario, the <b>Scoundrel</b> has agreed to join the Guild - that means we've got enough mercenaries now for a proper mission!"
scenario_puzzle_3b_obj_01,Kill 3 Archers before they attack this round
scenario_puzzle_3b_obj_02,Loot at least 5 tiles this round
scenario_puzzle_4a_01,"Right, this is your first proper fight. Looks like two clearings with a couple of bandits each."
scenario_puzzle_4a_02,"Just remember what I’ve taught you, and don’t enter the second clearing until you are ready. You can change your characters' starting positions this time by clicking the white hexes, so choose a formation that suits you before starting your first turn."
scenario_puzzle_4a_03,"By the way, if you're struggling to make out objects and enemies in the undergrowth, you can press <b>Tab</b> to highlight them.

You can also see the turn order of monsters of the same class this way. They will all get the same <b>initiative</b> from the card drawn for their class, but the actual order per monster on that class' turn is determined by their ID numbers. Lower numbers act first!"
scenario_puzzle_5a_01,"Meet the <b>Spellweaver</b>, a powerful but fragile magic wielder who can harness the natural elements of the world. Good thing we found her when we did, that's a lot of bandits!"
scenario_puzzle_5a_02,"To get her out of this mess, you'll need to harness the power of the elements infused in the battlefield. The elemental infusions display can be seen on the right of the screen, indicating which magical elements available for consuming. In this scenario, the <b><link=""Glossary_Ice"">Ice</link></b> element is already infused, but elements are normally infused for two rounds through using actions with elemental symbols on them, available for consumption after the turn in which they are infused."
scenario_puzzle_5a_03,"This round you must: 
<line-height=20%> 
</line-height>• Consume the <b><link=""Glossary_Ice"">Ice</link></b> element to augment <nobr><font=""MarcellusAlt SDF""><color=#F5E3B0><b>Freezing Nova</b></color></font>'s</nobr> <b><link=""Glossary_Attack"">Attack</link></b>, killing as many bandits as you can.
• Survive the round by using a <b>Jump Move</b> to get out of reach.
<line-height=20%> 
</line-height>"
scenario_puzzle_5a_04,"You need to <b><link=""Glossary_Jump"">Jump</link></b> away to safety from the bandits after hitting them with your Nova!"
scenario_puzzle_5a_05,"To power up <nobr><font=""MarcellusAlt SDF""><color=#F5E3B0><b>Freezing Nova</b></color></font></nobr> you need to consume the <b><link=""Glossary_Ice"">Ice</link></b> element before using it. Make sure you click on the <b><link=""Glossary_Ice"">Ice</link></b> symbol to toggle the consuming of the element before clicking elsewhere on the action to use it."
scenario_puzzle_5a_06,"By consuming the Ice element, <nobr><b><font=""MarcellusAlt SDF""><color=#F5E3B0>Freezing Nova</color></font></b></nobr> dealt <b>3</b> base damage instead of <b>2</b>! Knocking out three bandits plus applying the <link=""Glossary_Immobilize""><b>Immobilize</b></link> condition so the bandits couldn’t chase after you is pretty darn powerful, eh?"
scenario_puzzle_5a_07,"<nobr><font=""MarcellusAlt SDF""><color=#F5E3B0><b>Ride The Wind</b></color></font></nobr> also infused the <b><link=""Glossary_Air"">Air</link></b> element for you to use later if need be. 

You may have also noticed, with only three unburnt cards remaining, the <b>Spellweaver</b> will be exhausted after the next round is over, as you cannot return burned cards via resting!"
scenario_puzzle_5a_08,"Fortunately, the <b>Spellweaver</b> has a very powerful trick up her sleeve. Many of her powerful cards may burn after usage, but the top half of <nobr><font=""MarcellusAlt SDF""><color=#F5E3B0><b>Reviving Ether</b></color></font></nobr> allows her to return <i>all</i> of her burned cards to her hand! Getting the timing right on this one-time recovery per scenario of all burned cards is key to using <b>Spellweaver</b> well."
scenario_puzzle_5a_09,"It's up to you now: 
<line-height=20%> 
</line-height>• Kill the remaining <b>Bandit Guard</b>s!
<line-height=20%> 
</line-height><nobr><font=""MarcellusAlt SDF""><color=#F5E3B0>Reviving Ether</color></font></nobr> will recover all of your burned cards, so you can finish these bandits off at your leisure!"
scenario_puzzle_5a_10,"For helping her out of that bind, the <b>Spellweaver</b> has agreed to join our Guild! As you saw, her abilities can be incredibly potent, but she can be a difficult character to work with due to the complexity of her tactics."
scenario_puzzle_5a_11,"Have another go at using her abilities. Remember you consume infused elements to power up abilities, and don’t get caught in <b><link=""Glossary_Disadvantage"">Disadvantage</link></b> by using <b><link=""Glossary_Range"">Ranged</link></b> <b><link=""Glossary_Attack"">Attack</link></b>s on adjacent targets!"
scenario_puzzle_5a_obj_01,Use a Jump Move to survive the round
scenario_puzzle_5a_obj_02,Consume Ice to power up Freezing Nova and kill the weaker Bandits
scenario_puzzle_5a_obj_03,Kill the remaining Bandits
scenario_puzzle_5b_01,"Meet the <b>Tinkerer</b>! He’s a great support character to have on a team, but can also take on multiple enemies in a pinch. Looking at all those skeletons, I'd say this counts as one!"
scenario_puzzle_5b_02,"Currently he is <b><link=""Glossary_Wound"">Wound</link></b>ed <sprite name=Wound> and will take one damage at the start of his turns, so you ought to <link=""Glossary_Heal""><b>Heal</b></link> him as soon as possible with that <nobr><b><font=""MarcellusAlt SDF""><color=#F8F8F8>Minor Health Potion</color></font></b></nobr>."
scenario_puzzle_5b_03,"Looking at where the enemies in this room are, I’d advise you go as late as possible this round. Sometimes it’s better to go slow and let the enemies come to you, so you aren't at risk of being attacked. Then you can use one of the <b>Tinkerer</b>’s famous <b>area effect</b> attacks to deal some serious damage to multiple enemies at once!

You can recognise such abilities by their hex-shaped patterns on the ability card, showing you the shape of the area it will target."
scenario_puzzle_5b_04,"Remember to use your <b>item</b>s, you have more than just the ability cards at your disposal!"
scenario_puzzle_5b_05,"You didn't manage to hit three enemies. Sometimes it is better to wait for the bad guys to come to you, try picking <nobr><font=""MarcellusAlt SDF""><color=#F5E3B0>Ink Bomb</color></font></nobr> first and then <nobr><font=""MarcellusAlt SDF""><color=#F5E3B0>Toxic Bolt</color></font></nobr> will let them walk into <b><link=""Glossary_Range"">Range</link></b> before the <b>Tinkerer</b>’s turn."
scenario_puzzle_5b_06,"You may have noticed that if you use a <b><link=""Glossary_Heal"">Heal</link></b> ability when <b><link=""Glossary_Wound"">Wound</link></b>ed <sprite name=Wound>, the character not only recovers hit points but loses the <b><link=""Glossary_Wound"">Wound</link></b> <sprite name=Wound> condition.

<b><link=""Glossary_Heal"">Heal</link></b>ing can also remove a <b><link=""Glossary_Poison"">Poison</link></b> <sprite name=Poison> condition, but in that case you will only remove the condition and regain no hit points."
scenario_puzzle_5b_07,"Boom! <nobr><font=""MarcellusAlt SDF""><color=#F5E3B0>Ink Bomb</color></font></nobr> was pretty good, eh?"
scenario_puzzle_5b_08,I’ll leave you to finish off the rest of these bad guys. Did you know you can rotate the shape of an Area Effect by pressing <b>R</b>? 
scenario_puzzle_5b_09,"Remember when enemies are nearby to try and go first, <nobr><font=""MarcellusAlt SDF""><color=#F5E3B0><b>Net Shooter</b></color></font></nobr> should help you to finish them off."
scenario_puzzle_5b_10,"This little guy packs quite the punch, eh? Let's sign him up and look for some paid jobs for the Guild to take on."
scenario_puzzle_5b_obj_01,Heal to cure Tinkerer's Wound
scenario_puzzle_5b_obj_02,Hit 3 Living Bones this round
scenario_puzzle_5b_obj_03,Kill the remaining Living Bones this round
scenario_puzzle_5c_01,"The crypt is bathed in an unholy light, emanating from mysterious portals in the corners of the room. You brace yourselves for battle against whatever evil may come through."
scenario_puzzle_5c_02,"The portals suddenly blink out of existence! Whatever dark magic was reanimating the undead seems to cease, and they collapse to the floor. You have survived the undead onslaught and restored peace to the Sanctuary."
scenario_puzzle_5c_obj_01,Survive three rounds
scenario_puzzle_6a_01,"Hounds burst from the undergrowth, barking at you menacingly, soon followed by a Vermling Scout. He seems briefly taken aback at having stumbled upon a band of mercenaries, but quickly regains his composure and nocks an arrow, ready to fight."
scenario_puzzle_6a_02,You have located the sparsely defended Vermling Encampment. Driving the enemies away from here should make the trade route safe once more!
scenario_puzzle_7a_01,"Meet everyone’s favourite walking boulder, the <b>Cragheart</b>. You're badly outnumbered here, and will need to employ some defensive tactics. Let's go over how <nobr><b><link=""Glossary_Retaliate"">Retaliate</link></b> <sprite name=Retaliate></nobr> works and see how we can use that to help ol' Craggy out of this mess."
scenario_puzzle_7a_02,"Like <b><link=""Glossary_Shield"">Shield</link></b>, <b><link=""Glossary_Retaliate"">Retaliate</link></b> is an <b>active bonus</b>, that can either last the <nobr><link=""Glossary_Round""><b>Round</b></link> <sprite name=Round></nobr> or be <nobr><link=""Glossary_Persistent""><b>Persistent</b></link> <sprite name=Persistent></nobr>, usually with a termination condition for the latter.

While active, melee attackers will have damage inflicted upon them equal to the <b><link=""Glossary_Retaliate"">Retaliate</link></b> value after each <b><link=""Glossary_Attack"">Attack</link></b>."
scenario_puzzle_7a_03,"Surrounded by this many <b>Living Bones</b>, a retaliation against any that <b><link=""Glossary_Attack"">Attack</link></b> equates to a incredible amount of damage... assuming you can survive the round, that is!

Oh, and one last thing: Note that <b><link=""Glossary_Earth"">Earth</link></b> is infused already - remember to click the consume <sprite name=ConsumeEarth> icon on the card if you wish to use the element to power up an ability!"
scenario_puzzle_7a_04,"You know one action is surely for <b><link=""Glossary_Retaliate"">Retaliate</link></b>ing, but you have another action which you can still spend on an <b><link=""Glossary_Attack"">Attack</link></b>. <nobr><font=""MarcellusAlt SDF""><color=#F5E3B0><b>Avalanche</b></color></font></nobr> is a powerful one, especially if you consume the <b><link=""Glossary_Earth"">Earth</link></b> element to power it up!"
scenario_puzzle_7a_05,"You know one action is surely for <b><link=""Glossary_Retaliate"">Retaliate</link></b>ing, but you have another action which you can still spend on an <b><link=""Glossary_Attack"">Attack</link></b>. <nobr><font=""MarcellusAlt SDF""><color=#F5E3B0><b>Avalanche</b></color></font></nobr> is a powerful one, especially if you consume the <b><link=""Glossary_Earth"">Earth</link></b> element to power it up!"
scenario_puzzle_7a_06,"You took a fair bit of damage, but that was a great result! A well-timed <b><link=""Glossary_Retaliate"">Retaliate</link></b> can be devastatingly powerful.

By the way, you can see the <b>active bonus</b> from <nobr><font=""MarcellusAlt SDF""><color=#F5E3B0><b>Opposing Strike</b></color></font></nobr> is still, well, active - just look at <b>Cragheart</b>'s portrait at the top of the screen. The little pips in the <b>active bonus</b>' box show you at a glance how many instances remain, and you can check the effect text and XP yield by hovering over it."
scenario_puzzle_7a_07,"Did you notice how the <b>Living Bones</b>’ <b><link=""Glossary_Shield"">Shield</link></b> didn’t prevent any <b><link=""Glossary_Retaliate"">Retaliate</link></b> damage? Just like traps, <b><link=""Glossary_Retaliate"">Retaliate</link></b> damage is not explicitly an <b><link=""Glossary_Attack"">Attack</link></b>, and as such will deal exactly the amount it says it will, unaffected by <b><link=""Glossary_Shield"">Shield</link></b>s, modifiers and the like."
scenario_puzzle_7a_08,"Right, finish them bones off and we can get out of here!"
scenario_puzzle_7a_09,"Remember you still have two activations left on the <b><link=""Glossary_Retaliate"">Retaliate</link></b> from <nobr><font=""MarcellusAlt SDF""><color=#F5E3B0><b>Opposing Strike</b></color></font></nobr>, so you can factor in damage from that. Perhaps there is another way to deal damage directly through their <b><link=""Glossary_Shield"">Shield</link></b>s in addition to finish these skeletons off?"
scenario_puzzle_7a_10,"Well done! That looked like an unmanageable situation at first but as you saw, if you play your cards right you can navigate even the trickiest situations."
scenario_puzzle_7a_obj_01,Kill 4 Living Bones this round
scenario_puzzle_7a_obj_02,Kill the remaining Living Bones
scenario_puzzle_7b_01,"Meet the final member of your starting roster, the <b>Mindthief</b>. What she may lack in physical prowess is made up for in her ability to control the actions of enemies and <b><link=""Glossary_Summon"">Summon</link></b> allies to the battlefield.

<b><link=""Glossary_Summon"">Summon</link></b>s autonomously act directly before the turn of their summoner, always performing a ""<b><link=""Glossary_Move"">Move</link> X, <link=""Glossary_Attack"">Attack</link> Y</b>"" action, where <b>X</b> and <b>Y</b> are their respective base stats."
scenario_puzzle_7b_02,"As the <b>Mindthief</b> was out hunting demons, you are about to face a more serious enemy, the <b>Night Demon</b>. 

These harrowing creatures have an inherent ability to give <b><link=""Glossary_Disadvantage"">Disadvantage</link></b> to all <b><link=""Glossary_Attack"">Attack</link></b>s targeting them, making them often tricky to deal with. Perhaps you can try taking them down with a non-<b><link=""Glossary_Attack"">Attack</link></b> source of direct damage?"
scenario_puzzle_7b_03,"For this round: 
<line-height=20%> 
</line-height>• <b><link=""Glossary_Summon"">Summon</link></b> an Ally
• Kill a <b>Night Demon</b>
<line-height=20%> 
</line-height>A top tip for you: Enemies will prioritise your <b><link=""Glossary_Summon"">Summon</link></b> if you are at the same range. Use this to your advantage!"
scenario_puzzle_7b_04,"Use <nobr><font=""MarcellusAlt SDF""><color=#F5E3B0><b>Gnawing Horde</b></color></font></nobr> to summon a rat, it can help you fight the Demons!"
scenario_puzzle_7b_05,"Although your <b><link=""Glossary_Push"">Push</link></b> ability card has been<link=""Glossary_burn"">burn</link>ed already, perhaps there is another way to force an enemy to <b><link=""Glossary_Move"">Move</link></b> onto a trap to deal direct damage?"
scenario_puzzle_7b_06,"Now, your final objective:
<line-height=20%> 
</line-height>• Kill the remaining Night Demons.
<line-height=20%> 
</line-height>"
scenario_puzzle_7b_07,"One of the <b>Mindthief</b>'s signature traits is access to cards with <b><link=""Glossary_Augment"">Augment</link></b> abilities, such as <nobr><font=""MarcellusAlt SDF""><color=#F5E3B0><b>Withering Claw</b></color></font></nobr>.

While active, these grant <link=""Glossary_Persistent""><b>persistent</b></link> buffs to her melee attacks, but she can normally only have one <b><link=""Glossary_Augment"">Augment</link></b> active at a time. They handily always come with an <b><link=""Glossary_Attack"">Attack</link></b> attached too, in addition to setting up the <b><link=""Glossary_Augment"">Augment</link></b>."
scenario_puzzle_7b_08,These demons are creeping me out so I’ll leave it up to you from here. Good luck!
scenario_puzzle_7b_09,"Perhaps you can try another trap kill on one Night Demon, then combining <b><link=""Glossary_Attack"">Attack</link></b>s with your <b><link=""Glossary_Summon"">Summon</link></b> against the other?"
scenario_puzzle_7b_10,"I guess you too can consider yourself a <i>demon slayer</i> now, huh? Oh, it was <i>demon hunter</i>?

Whatever, the point is: Well done!"
scenario_puzzle_7b_obj_01,Kill a Night Demon this round
scenario_puzzle_7b_obj_02,Summon an Ally this round
scenario_puzzle_7b_obj_03,Kill the remaining Night Demons
scenario_relic_ancientdrill_room3_1,You see a pile of equipment in this room. Perhaps the Drill you are looking for is in there?
scenario_relic_ancientdrill_sm1_desc,All Enemies have Shield +1
scenario_relic_ancientdrill_start_1,"The cave seems to be formed of a number of chambers, but before you have a chance to search them, you hear hissing and growling. Apparently the cave has inhabitants!"
scenario_relic_ancientdrill_start_2,It seems that these creatures have naturally tough hide. Use your knowledge of Pierce abilities to fight your way through them all!
scenario_relic_ancientdrill_success_1,"Now the cave is empty, you have time to look at the Drill in more detail. It certainly looks old, but also powerful."
scenario_relic_curiousgear_sm1_desc,All Heroes & Summons take 1 Damage at the end of each turn
scenario_relic_curiousgear_sm2_desc,All Heroes & Summons are permanently Strengthened
scenario_relic_curiousgear_start_1,How dare you come here and lecture us on who we can or cannot sell our goods to!
scenario_relic_curiousgear_start_2,"You maim and kill the denizens of the forest at will, now you shall feel what it is to be hunted!"
scenario_relic_curiousgear_start_3,"The peculiar mix in the tea means you will not only lose health at the end of every round, but that for the duration of the fight you are strengthened too!"
scenario_relic_curiousgear_start_4,"By the way, that chest over there, it has the same markings as the traps we keep finding. We can’t leave here without finding what is inside!"
scenario_relic_curiousgear_success_1,"As you are still not dead, the remaining Inox fall back disheartened. It seems you have won the day."
scenario_relic_curiousgear_success_2,"Okay, next time I suggest we do a deal with people who make traps, just tell me to shut up."
scenario_relic_doomedcompass_room3_1,The magical distortion is coming from whatever is in that chest over there.
scenario_relic_doomedcompass_sm1_desc,"At the Start of each round Light & Dark Elements are set to Strong and Fire, Ice, Air & Earth Elements are set to Inert"
scenario_relic_doomedcompass_start_1,"You climb a number of stairwells to what you assume must be the top floor of the edifice, when the passageways level out."
scenario_relic_doomedcompass_start_2,The light is indeed strange: torchlight feels even brighter and shadows seem even blacker. You step into a room and see why… Demons.
scenario_relic_doomedcompass_start_3,"Beware, the light is having strange effects on the Elements here. This is going to be a very tough fight!"
scenario_relic_doomedcompass_success_1,A compass? A bloody compass did this?
scenario_relic_doomedcompass_success_2,It seems that the compass controlled the Demons themselves. Perhaps you can use its properties on your enemies.
scenario_relic_drakescalearmor_room4_1,"The maze of passages ends in this room, and you see a chest on the floor, this must be where the armour was kept."
scenario_relic_drakescalearmor_room4_2,Sadly it seems the blacksmith’s corpse burned away long ago.
scenario_relic_drakescalearmor_start_1,The Crypt has seen better days; there's rubble and lava everywhere. Tread carefully...
scenario_relic_drakescalearmor_start_2,It seems the blacksmith’s tame Drakes aren’t so tame anymore - and the lava has attracted Flame Demons!
scenario_relic_drakescalearmor_start_3,"All magic is muted here apart from Fire, be careful!"
scenario_relic_drakescalearmor_success_1,You grab the Armor and get out of this place before it becomes your tomb!
scenario_relic_drakescaleboots_room4_1,"There’s the exit, almost there!"
scenario_relic_drakescaleboots_sm1_desc,All Mercenaries start Immobilized
scenario_relic_drakescaleboots_start_1,"The boots are in that chest over there, grab them and get the hell out of here!"
scenario_relic_drakescaleboots_start_2,"The encampment is deep in the forest, this is going to be a tough escape."
scenario_relic_drakescaleboots_start_3,Keep running and don’t stop!
scenario_relic_drakescaleboots_success_1,"You run out of the forest panting hard, but the boots are yours."
scenario_relic_drakescalehelm_room2_1,"This room is in chaos, a group of badly beaten Bandits are trying unsuccessfully to reach a Chest in the rear of the chamber."
scenario_relic_drakescalehelm_room2_2,The Lurkers within are not happy with the invaders!
scenario_relic_drakescalehelm_room2_3,"Your best bet is to use the Bandits as a diversion and take those Lurkers out, but remember to grab the chest!"
scenario_relic_drakescalehelm_sm1_desc,
scenario_relic_drakescalehelm_start_1,"Damn, now someone’s coming out of our tunnel, this job is a disaster!"
scenario_relic_drakescalehelm_start_2,"Stop moaning, we were told to defend this spot, while they recover the chest, so shut up and take them down!"
scenario_relic_drakescalehelm_start_3,
scenario_relic_drakescalehelm_success_1,"The chest is yours and you hurry from this place, hoping to not bother any more of its denizens."
scenario_relic_endurancefootwraps_room3_1,"There are the remains of the Loot they stole, and there are the Artillery pieces!"
scenario_relic_endurancefootwraps_start_1,The front entrance has Flame Demons whereas the side entrance has their Frosty brethren.
scenario_relic_endurancefootwraps_start_2,We’ll need to split our forces smartly.
scenario_relic_endurancefootwraps_success_1,"WIth the Savvas defeated, you take the Loot back down the mountain."
scenario_relic_fleabittenshawl_room4_1,"Over there, the artifact is within it!"
scenario_relic_fleabittenshawl_sm1_desc,
scenario_relic_fleabittenshawl_start_1,I’m detecting a magical emanation from much further inside the sewer.
scenario_relic_fleabittenshawl_start_2,"This room is flooded with Ooze, I’d advise trying to keep it clear while someone goes and retrieves the artifact!"
scenario_relic_fleabittenshawl_success_1,"With the shawl under your arm, you leave this disgusting place and head back outside to the slightly fresher air."
scenario_relic_loot_objective,Loot the Relic
scenario_relic_necklaceofteeth_room3_1,"You barge through the door into the shack, where the terrible smell hits you instantly, bones and pieces of flesh litter the floor"
scenario_relic_necklaceofteeth_room3_2,"Not a witch then, a den of Harrowers!"
scenario_relic_necklaceofteeth_room4_1,"Well, there is a chest of items, grab it and clear this hut of enemies!"
scenario_relic_necklaceofteeth_sm1_desc,All Enemies <nobr>Heal <sprite name=Heal> 1 </nobr> at the end of each round
scenario_relic_necklaceofteeth_start_1,Vermlings? Why would a witch consort with Vermlings?
scenario_relic_necklaceofteeth_start_2,"Enchantress - There is a healing aura here, they are likely attracted by that."
scenario_relic_necklaceofteeth_success_1,"As you leave the hut, you set it on fire, hoping to burn out your memories of this place."
scenario_relic_orbofdawn_room3_1,"There is the Orb, grab it and take down all the Sun Demons!"
scenario_relic_orbofdawn_sm1_desc,At the Start of each round the Light Element is set to Strong
scenario_relic_orbofdawn_start_1,"The passageway opens out into a deeper part of the crypt. Stone guardians bar the way, and Sun Demons react to your presence."
scenario_relic_orbofdawn_start_2,"Beware, as you are close to the source, Light is permanently Strong here. The Sun Demons will be especially dangerous!"
scenario_relic_orbofdawn_start_3,"Once all the Sun Demons are dead and you have the Orb in your hands, the Golems should power down - so avoid them if you can. Good luck!"
scenario_relic_orbofdawn_success_1,"As you kill the Sun Demons and retrieve the orb, the light in the crypt fades and any remaining golems power down."
scenario_relic_orbofdawn_success_2,You have struck a blow against the demonic hordes here today!
scenario_relic_orbofdawn_success_3,And that relic should come in handy against Night Demons!
scenario_relic_orboftwilight_room2_1,This area also has Stone Guardians. Avoid them if you can: you only need to kill the Night Demons and retrieve the Relic.
scenario_relic_orboftwilight_room3_1,"The Orb is there, retrieve it!"
scenario_relic_orboftwilight_sm1_desc,At the Start of each round the Dark Element is set to Strong
scenario_relic_orboftwilight_start_1,You’ll need to get inside and claim the artifact. Only then will the Night Demons' power be reduced in the area.
scenario_relic_orboftwilight_start_2,"Beware, however, that it has created an almost permanent amount of Dark Energy. Use it to your advantage."
scenario_relic_orboftwilight_success_1,"With the Orb in your hands, and the Night Demons killed, the aura of dark power leaves the dungeon."
scenario_relic_orboftwilight_success_2,"Well done heroes, this area should now finally be clear of their blight."
scenario_relic_orboftwilight_success_3,This relic should aid our fight against some of the brighter demons!
scenario_relic_remotespider_fail_objective,Lose if Scabwit is exhausted
scenario_relic_remotespider_room4_1,It looks as if the item they have been using is in that chest over there.
scenario_relic_remotespider_sm1_desc,Vermling Scouts have Poison added to their attacks
scenario_relic_remotespider_start_1,"Look at them, living in a cave with Snakes. This is not how Vermlings should live!"
scenario_relic_remotespider_start_2,"Beware the archers, they also have Poisoned arrows... Attack!"
scenario_relic_remotespider_success_1,Well fought! These Vermling shall no longer be plaguing my tribe!
scenario_relic_resonantcrystal_room2_1,"It’s clear this room is being used as some kind of storage dump, and you can see a chest sitting on the floor. Time to grab the loot and silence anyone who stands in your way."
scenario_relic_resonantcrystal_start_1,"Entering the tomb, you are greeted by the angry shouts of bandits."
scenario_relic_resonantcrystal_start_2,"You ain’t getting this star stone, we found it, so Bugger off!"
scenario_relic_resonantcrystal_start_3,"He turns to one of his accomplices and tells them to guard the back room. Well, now you know where it is being stored, smart guy..."
scenario_relic_resonantcrystal_success_1,"The crystal throbs in your hands, it certainly contains some powerful magic. You stick it in your pack and head out."
scenario_relic_ringofskulls_room3_1,That is where the Ring will be kept. Kill the rest of the enemies and grab the Ring before reinforcements arrive!
scenario_relic_ringofskulls_sm1_desc,Cultists have permanent Shield +1
scenario_relic_ringofskulls_sm2_desc,Cultists heal 1 Health at the end of each Round
scenario_relic_ringofskulls_start_1,"This is one of the Cult’s headquarters, so expect heavy resistance and powerful magic."
scenario_relic_ringofskulls_start_2,"Indeed, I detected that the Cultists have augmented themselves with some form of protective enhancements. They will be difficult to kill."
scenario_relic_ringofskulls_success_1,Regenerating Cultists... that’s something I hope to never see again!
scenario_relic_sacrificialrobes_room2_1,"So, this is the grand idea? The Cultists sacrifice the Bandits, and then create clothing out of their remains? That is… disgusting!"
scenario_relic_sacrificialrobes_room2_2,"And by the look of it, the Archers don’t get a lot of say in the matter!"
scenario_relic_sacrificialrobes_room3_1,"Look over there, it appears that one of the items of clothing hasn’t been used yet. Let’s grab it."
scenario_relic_sacrificialrobes_room3_2,For research of course.
scenario_relic_sacrificialrobes_sm1_desc,All Characters gain <nobr>+1 Attack <sprite name=Attack></nobr> to all Ranged Attacks
scenario_relic_sacrificialrobes_start_1,You’ll need to get inside to see what is going on. Something about this seems pretty fishy... why would Bandits and Cultists work together?
scenario_relic_sacrificialrobes_start_2,"I’ve just noticed, there seems to actually be a magical aura in the area meaning all Ranged attacks ARE more dangerous, what the...?"
scenario_relic_sacrificialrobes_success_1,"Great work, the cloak is ours!"
scenario_relic_secondskin_room2_1,"Kill them, they must not escape!"
scenario_relic_secondskin_room2_2,He neglected to mention his business partner was a Harrower!
scenario_relic_secondskin_room2_3,"Too late to worry about that, grab the Armour and go out that back door!"
scenario_relic_secondskin_room3_1,Blooming Stone Golems too?!
scenario_relic_secondskin_room3_2,"Just keep moving, almost there!"
